go;;hex;e0;62;15;03;00;04;4c;3e;a1;00;06;00;00;00;00;00;00;00;af;00;eb
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;hex;e0;63;15;03;00;04;4c;00;a2;00;00;00;00;00;00;00;00;00;6d;00;eb
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;hex;e0;64;15;03;00;04;4c;00;a3;00;00;00;00;00;00;00;00;00;6f;00;eb
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
go;;hex;e0;66;15;03;00;04;4c;3e;a1;00;06;00;00;00;00;00;00;00;b3;00;eb
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;hex;e0;67;15;03;00;04;4c;00;a2;00;00;00;00;00;00;00;00;00;71;00;eb
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;hex;e0;68;15;03;00;04;4c;00;a3;00;00;00;00;00;00;00;00;00;73;00;eb
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;para carera forzada;;tiempo carrera;;vuelta;;;minutos;segundo;d+c;mil+micro;;;
stop carrera forzada;;hex;e0;61;15;03;00;04;4c;00;a7;00;00;00;00;00;00;00;00;00;70;00;eb
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;hex;e0;65;15;03;00;04;4c;00;a7;00;00;00;00;00;00;00;00;00;74;00;eb
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;hex;e0;69;15;03;00;04;4c;00;a7;00;00;00;00;00;00;00;00;00;78;00;eb
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;pause on;;tiempo carrera;;vuelta;;;minutos;segundo;d+c;mil+micro;;;
pause on;;hex;e0;6d;15;03;00;04;4c;00;a5;00;00;00;00;00;00;00;00;00;7a;00;eb
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;hex;e0;71;15;03;00;04;4c;00;a5;00;00;00;00;00;00;00;00;00;7e;00;eb
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;hex;;;;;;;;;;;;;;;;;;;;;
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;pause of;;tiempo carrera;;vuelta;;;minutos;segundo;d+c;mil+micro;;;
pause off;;hex;e0;6e;15;03;00;04;4c;00;a6;00;00;00;00;00;00;00;00;00;7c;00;eb
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;hex;e0;6f;15;03;00;04;4c;00;a2;00;00;00;00;00;00;00;00;00;79;00;eb
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;hex;e0;70;15;03;00;04;4c;00;a3;00;00;00;00;00;00;00;00;00;7b;00;eb
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
pause off;;hex;e0;72;15;03;00;04;4c;00;a6;00;00;00;00;00;00;00;00;00;80;00;eb
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;hex;e0;73;15;03;00;04;4c;00;a2;00;00;00;00;00;00;00;00;00;7d;00;eb
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;hex;e0;74;15;03;00;04;4c;00;a3;00;00;00;00;00;00;00;00;00;7f;00;eb
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;start carrera;;tiempo carrera;;vuelta;;;minutos;segundo;d+c;mil+micro;;;
go;;hex;e0;f6;15;03;00;04;4c;3e;a1;00;01;00;00;00;00;00;00;00;3e;00;eb
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;hex;e0;f7;15;03;00;04;4c;00;a2;00;00;00;00;00;00;00;00;00;01;00;eb
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;hex;e0;f8;15;03;00;04;4c;00;a3;00;00;00;00;00;00;00;00;00;03;00;eb
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;pause on;;tiempo carrera;;vuelta;;;minutos;segundo;d+c;mil+micro;;;
pause on;;hex;e0;f9;15;03;00;04;4c;00;a5;00;00;00;00;00;00;00;00;00;06;00;eb
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;pause off;;tiempo carrera;;vuelta;;;;tiempo;;;;;
pause off;;hex;e0;fa;15;03;00;04;4c;00;a6;00;00;00;00;00;00;00;00;00;08;00;eb
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;hex;e0;fb;15;03;00;04;4c;00;a2;00;00;00;00;00;00;00;00;00;05;00;eb
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;hex;e0;fc;15;03;00;04;4c;00;a3;00;00;00;00;00;00;00;00;00;07;00;eb
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;fin carrera real;;tiempo carrera;;vuelta;;;minutos;segundo;d+c;mil+micro;;;
stop real fin carril;;hex;e0;fd;15;03;00;04; ;00;c0;00;00;00;00;00;01;00;00;00;26;00;eb
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;hex;e0;fe;15;03;00;04;4c;00;a4;00;00;00;00;00;00;00;00;00;0a;00;eb
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;fin carrera real;;tiempo carrera;;vuelta;;;minutos;segundo;d+c;mil+micro;;;
stop real fin carril;;hex;e0;02;15;03;00;04;4c;00;c0;00;00;00;00;00;01;00;00;00;2b;00;eb
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;hex;eb;03;15;03;00;04;4c;00;a4;00;00;00;00;00;00;00;00;00;0f;00;eb
;;binario;;;;;;;;;;;;;;;;;;;;;
;;;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;fin carrera real;;;carril 80(1), 40(2);vuelta;;;minutos;segundo;d+c;mil+micro;;;
carril 1;;;e0;17;15;03;00;04;4c;1b;00;00;80;00;01;00;aa;ab;aa;aa;c3;00;eb
;;;e0;18;15;03;00;04;4c;1b;00;00;80;00;02;00;00;03;42;81;e3;00;eb
;;;;;;;;;;;;;;;;;;;;;;;
carril 2;;;e0;15;15;03;00;04;4c;1b;a9;00;40;00;01;00;aa;ab;aa;aa;2b;00;eb
;;;e0;16;15;03;00;04;4c;1b;a9;00;40;00;02;00;00;04;19;53;f4;00;eb
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;info estado carrera;;;;;;;tiempo transcurrido;;;;;;
informacion automática durante carrera;;;e0;0b;15;03;00;04;4c;00;c0;00;00;00;00;00;02;00;00;00;35;00;eb
;;;e0;0c;15;03;00;04;4c;00;c0;00;00;00;00;00;03;00;00;00;37;00;eb
;;;e0;0d;15;03;00;04;4c;00;c0;00;00;00;00;00;04;00;00;00;39;00;eb
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
